"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","QGDP","TOT","PC_CHGPP","Q","1960-Q2",0.37571,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1960-Q3",0.748561,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1960-Q4",1.185218,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1961-Q1",1.608374,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1961-Q2",1.600329,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1961-Q3",1.592219,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1961-Q4",1.699022,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1962-Q1",1.800279,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1962-Q2",1.615682,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1962-Q3",1.439785,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1962-Q4",1.251797,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1963-Q1",-1.665799,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1963-Q2",4.465475,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1963-Q3",3.298802,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1963-Q4",0.311287,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1964-Q1",1.882604,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1964-Q2",0.958921,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1964-Q3",1.226255,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1964-Q4",0.903739,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1965-Q1",0.221995,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1965-Q2",2.488095,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1965-Q3",1.445019,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1965-Q4",1.392214,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1966-Q1",0.902206,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1966-Q2",1.512522,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1966-Q3",1.140425,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1966-Q4",0.545947,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1967-Q1",1.71364,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1967-Q2",1.094577,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1967-Q3",0.95619,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1967-Q4",0.974727,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1968-Q1",2.909618,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1968-Q2",-7.580956,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1968-Q3",11.373243,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1968-Q4",1.02459,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1969-Q1",0.183745,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1969-Q2",2.453037,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1969-Q3",0.945384,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1969-Q4",0.790252,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1970-Q1",1.911374,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1970-Q2",1.262038,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1970-Q3",1.377239,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1970-Q4",1.570186,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1971-Q1",0.129083,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1971-Q2",1.821987,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1971-Q3",1.630601,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1971-Q4",0.856781,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1972-Q1",1.309796,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1972-Q2",0.384177,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1972-Q3",0.88796,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1972-Q4",1.660236,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1973-Q1",1.992282,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1973-Q2",1.080382,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1973-Q3",0.858845,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1973-Q4",1.278319,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1974-Q1",0.959287,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1974-Q2",0.500643,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1974-Q3",0.943451,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1974-Q4",-1.510183,"E"
"FRA","QGDP","TOT","PC_CHGPP","Q","1975-Q1",-0.449904,"E"
