Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Number
KOR;QGDP;TOT;PC_CHGPP;Q;1968-Q2;1.796154;1
KOR;QGDP;TOT;PC_CHGPP;Q;1968-Q3;4.582151;2
KOR;QGDP;TOT;PC_CHGPP;Q;1968-Q4;-1.086666;3
KOR;QGDP;TOT;PC_CHGPP;Q;1969-Q1;4.779877;4
KOR;QGDP;TOT;PC_CHGPP;Q;1969-Q2;3.669007;5
KOR;QGDP;TOT;PC_CHGPP;Q;1969-Q3;7.55572;6
KOR;QGDP;TOT;PC_CHGPP;Q;1969-Q4;2.372113;7
KOR;QGDP;TOT;PC_CHGPP;Q;1970-Q1;-1.803449;8
KOR;QGDP;TOT;PC_CHGPP;Q;1970-Q2;4.115313;9
KOR;QGDP;TOT;PC_CHGPP;Q;1970-Q3;0.411535;10
KOR;QGDP;TOT;PC_CHGPP;Q;1970-Q4;7.754353;11
KOR;QGDP;TOT;PC_CHGPP;Q;1971-Q1;0.695473;12
KOR;QGDP;TOT;PC_CHGPP;Q;1971-Q2;2.966367;13
KOR;QGDP;TOT;PC_CHGPP;Q;1971-Q3;0.243142;14
KOR;QGDP;TOT;PC_CHGPP;Q;1971-Q4;0.817549;15
KOR;QGDP;TOT;PC_CHGPP;Q;1972-Q1;1.574354;16
KOR;QGDP;TOT;PC_CHGPP;Q;1972-Q2;2.585679;17
KOR;QGDP;TOT;PC_CHGPP;Q;1972-Q3;1.705316;18
KOR;QGDP;TOT;PC_CHGPP;Q;1972-Q4;4.431268;19
KOR;QGDP;TOT;PC_CHGPP;Q;1973-Q1;3.507191;20
KOR;QGDP;TOT;PC_CHGPP;Q;1973-Q2;3.652718;21
KOR;QGDP;TOT;PC_CHGPP;Q;1973-Q3;5.095154;22
KOR;QGDP;TOT;PC_CHGPP;Q;1973-Q4;1.752888;23
KOR;QGDP;TOT;PC_CHGPP;Q;1974-Q1;4.438858;24
KOR;QGDP;TOT;PC_CHGPP;Q;1974-Q2;-0.921015;25
KOR;QGDP;TOT;PC_CHGPP;Q;1974-Q3;1.628667;26
KOR;QGDP;TOT;PC_CHGPP;Q;1974-Q4;-0.08811;27
KOR;QGDP;TOT;PC_CHGPP;Q;1975-Q1;1.824646;28
KOR;QGDP;TOT;PC_CHGPP;Q;1975-Q2;4.067033;29
KOR;QGDP;TOT;PC_CHGPP;Q;1975-Q3;2.873222;30
KOR;QGDP;TOT;PC_CHGPP;Q;1975-Q4;3.169893;31
KOR;QGDP;TOT;PC_CHGPP;Q;1976-Q1;3.017996;32
