"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","QGDP","VOLIDX","IDX","Q","1961-Q1",23.017576,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1961-Q2",23.385933,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1961-Q3",23.758288,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1961-Q4",24.161947,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1962-Q1",24.596929,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1962-Q2",24.994338,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1962-Q3",25.354202,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1962-Q4",25.671586,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1963-Q1",25.243948,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1963-Q2",26.371211,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1963-Q3",27.241145,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1963-Q4",27.325943,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1964-Q1",27.840382,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1964-Q2",28.107349,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1964-Q3",28.452017,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1964-Q4",28.709149,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1965-Q1",28.772882,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1965-Q2",29.488779,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1965-Q3",29.914897,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1965-Q4",30.331377,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1966-Q1",30.605028,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1966-Q2",31.067936,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1966-Q3",31.422242,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1966-Q4",31.593791,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1967-Q1",32.135195,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1967-Q2",32.486939,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1967-Q3",32.797576,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1967-Q4",33.117263,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1968-Q1",34.080849,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1968-Q2",31.497195,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1968-Q3",35.079447,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1968-Q4",35.438868,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1969-Q1",35.503985,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1969-Q2",36.374911,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1969-Q3",36.718793,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1969-Q4",37.008964,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1970-Q1",37.716344,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1970-Q2",38.192339,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1970-Q3",38.718339,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1970-Q4",39.326289,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1971-Q1",39.377052,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1971-Q2",40.094497,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1971-Q3",40.748278,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1971-Q4",41.097402,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1972-Q1",41.635694,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1972-Q2",41.795649,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1972-Q3",42.166778,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1972-Q4",42.866846,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1973-Q1",43.720874,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1973-Q2",44.193227,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1973-Q3",44.572778,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1973-Q4",45.142561,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1974-Q1",45.575607,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1974-Q2",45.803778,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1974-Q3",46.235915,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1974-Q4",45.537667,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1975-Q1",45.332792,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1975-Q2",45.44737,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1975-Q3",45.623412,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1975-Q4",46.239481,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1976-Q1",46.918151,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1976-Q2",47.477538,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1976-Q3",47.702066,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1976-Q4",48.296358,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1977-Q1",48.830249,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1977-Q2",49.042561,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1977-Q3",49.267393,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1977-Q4",49.379847,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1978-Q1",50.065802,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1978-Q2",50.898205,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1978-Q3",50.853436,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1978-Q4",51.286255,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1979-Q1",51.727345,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1979-Q2",52.221854,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1979-Q3",52.818802,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1979-Q4",52.919267,"E"
"FRA","QGDP","VOLIDX","IDX","Q","1980-Q1",53.489663,
"FRA","QGDP","VOLIDX","IDX","Q","1980-Q2",53.219156,
"FRA","QGDP","VOLIDX","IDX","Q","1980-Q3",53.227621,
"FRA","QGDP","VOLIDX","IDX","Q","1980-Q4",53.156773,
"FRA","QGDP","VOLIDX","IDX","Q","1981-Q1",53.382564,
"FRA","QGDP","VOLIDX","IDX","Q","1981-Q2",53.672578,
"FRA","QGDP","VOLIDX","IDX","Q","1981-Q3",54.063066,
"FRA","QGDP","VOLIDX","IDX","Q","1981-Q4",54.31554,
"FRA","QGDP","VOLIDX","IDX","Q","1982-Q1",54.794541,
"FRA","QGDP","VOLIDX","IDX","Q","1982-Q2",55.159818,
"FRA","QGDP","VOLIDX","IDX","Q","1982-Q3",55.175276,
"FRA","QGDP","VOLIDX","IDX","Q","1982-Q4",55.506325,
"FRA","QGDP","VOLIDX","IDX","Q","1983-Q1",55.761375,
"FRA","QGDP","VOLIDX","IDX","Q","1983-Q2",55.753463,
"FRA","QGDP","VOLIDX","IDX","Q","1983-Q3",55.84584,
"FRA","QGDP","VOLIDX","IDX","Q","1983-Q4",56.087457,
"FRA","QGDP","VOLIDX","IDX","Q","1984-Q1",56.46672,
"FRA","QGDP","VOLIDX","IDX","Q","1984-Q2",56.659939,
"FRA","QGDP","VOLIDX","IDX","Q","1984-Q3",56.942776,
"FRA","QGDP","VOLIDX","IDX","Q","1984-Q4",57.091463,
"FRA","QGDP","VOLIDX","IDX","Q","1985-Q1",57.19617,
"FRA","QGDP","VOLIDX","IDX","Q","1985-Q2",57.597331,
"FRA","QGDP","VOLIDX","IDX","Q","1985-Q3",57.972177,
"FRA","QGDP","VOLIDX","IDX","Q","1985-Q4",58.166685,
"FRA","QGDP","VOLIDX","IDX","Q","1986-Q1",58.397813,
"FRA","QGDP","VOLIDX","IDX","Q","1986-Q2",59.028077,
"FRA","QGDP","VOLIDX","IDX","Q","1986-Q3",59.27227,
"FRA","QGDP","VOLIDX","IDX","Q","1986-Q4",59.455553,
"FRA","QGDP","VOLIDX","IDX","Q","1987-Q1",59.559155,
"FRA","QGDP","VOLIDX","IDX","Q","1987-Q2",60.263395,
"FRA","QGDP","VOLIDX","IDX","Q","1987-Q3",60.692895,
"FRA","QGDP","VOLIDX","IDX","Q","1987-Q4",61.736282,
"FRA","QGDP","VOLIDX","IDX","Q","1988-Q1",62.428192,
"FRA","QGDP","VOLIDX","IDX","Q","1988-Q2",62.852172,
"FRA","QGDP","VOLIDX","IDX","Q","1988-Q3",63.690193,
"FRA","QGDP","VOLIDX","IDX","Q","1988-Q4",64.365726,
"FRA","QGDP","VOLIDX","IDX","Q","1989-Q1",65.145046,
"FRA","QGDP","VOLIDX","IDX","Q","1989-Q2",65.658274,
"FRA","QGDP","VOLIDX","IDX","Q","1989-Q3",66.446979,
"FRA","QGDP","VOLIDX","IDX","Q","1989-Q4",67.39946,
"FRA","QGDP","VOLIDX","IDX","Q","1990-Q1",67.690026,
"FRA","QGDP","VOLIDX","IDX","Q","1990-Q2",68.097259,
"FRA","QGDP","VOLIDX","IDX","Q","1990-Q3",68.348077,
"FRA","QGDP","VOLIDX","IDX","Q","1990-Q4",68.538537,
"FRA","QGDP","VOLIDX","IDX","Q","1991-Q1",68.403835,
"FRA","QGDP","VOLIDX","IDX","Q","1991-Q2",68.808124,
"FRA","QGDP","VOLIDX","IDX","Q","1991-Q3",68.936201,
"FRA","QGDP","VOLIDX","IDX","Q","1991-Q4",69.246641,
"FRA","QGDP","VOLIDX","IDX","Q","1992-Q1",69.902852,
"FRA","QGDP","VOLIDX","IDX","Q","1992-Q2",69.936159,
"FRA","QGDP","VOLIDX","IDX","Q","1992-Q3",69.884266,
"FRA","QGDP","VOLIDX","IDX","Q","1992-Q4",69.774591,
"FRA","QGDP","VOLIDX","IDX","Q","1993-Q1",69.309391,
"FRA","QGDP","VOLIDX","IDX","Q","1993-Q2",69.358708,
"FRA","QGDP","VOLIDX","IDX","Q","1993-Q3",69.476112,
"FRA","QGDP","VOLIDX","IDX","Q","1993-Q4",69.609526,
"FRA","QGDP","VOLIDX","IDX","Q","1994-Q1",70.114105,
"FRA","QGDP","VOLIDX","IDX","Q","1994-Q2",70.887168,
"FRA","QGDP","VOLIDX","IDX","Q","1994-Q3",71.313356,
"FRA","QGDP","VOLIDX","IDX","Q","1994-Q4",71.932027,
"FRA","QGDP","VOLIDX","IDX","Q","1995-Q1",72.304297,
"FRA","QGDP","VOLIDX","IDX","Q","1995-Q2",72.607376,
"FRA","QGDP","VOLIDX","IDX","Q","1995-Q3",72.738582,
"FRA","QGDP","VOLIDX","IDX","Q","1995-Q4",72.855065,
"FRA","QGDP","VOLIDX","IDX","Q","1996-Q1",73.251994,
"FRA","QGDP","VOLIDX","IDX","Q","1996-Q2",73.479441,
"FRA","QGDP","VOLIDX","IDX","Q","1996-Q3",73.905629,
"FRA","QGDP","VOLIDX","IDX","Q","1996-Q4",73.982365,
"FRA","QGDP","VOLIDX","IDX","Q","1997-Q1",74.239439,
"FRA","QGDP","VOLIDX","IDX","Q","1997-Q2",75.083165,
"FRA","QGDP","VOLIDX","IDX","Q","1997-Q3",75.646263,
"FRA","QGDP","VOLIDX","IDX","Q","1997-Q4",76.476003,
"FRA","QGDP","VOLIDX","IDX","Q","1998-Q1",77.142703,
"FRA","QGDP","VOLIDX","IDX","Q","1998-Q2",77.833878,
"FRA","QGDP","VOLIDX","IDX","Q","1998-Q3",78.395687,
"FRA","QGDP","VOLIDX","IDX","Q","1998-Q4",78.994116,
"FRA","QGDP","VOLIDX","IDX","Q","1999-Q1",79.408895,
"FRA","QGDP","VOLIDX","IDX","Q","1999-Q2",80.066946,
"FRA","QGDP","VOLIDX","IDX","Q","1999-Q3",81.02826,
"FRA","QGDP","VOLIDX","IDX","Q","1999-Q4",82.129797,
"FRA","QGDP","VOLIDX","IDX","Q","2000-Q1",82.90746,
"FRA","QGDP","VOLIDX","IDX","Q","2000-Q2",83.688436,
"FRA","QGDP","VOLIDX","IDX","Q","2000-Q3",84.233316,
"FRA","QGDP","VOLIDX","IDX","Q","2000-Q4",84.914553,
"FRA","QGDP","VOLIDX","IDX","Q","2001-Q1",85.381777,
"FRA","QGDP","VOLIDX","IDX","Q","2001-Q2",85.482987,
"FRA","QGDP","VOLIDX","IDX","Q","2001-Q3",85.80502,
"FRA","QGDP","VOLIDX","IDX","Q","2001-Q4",85.829127,
"FRA","QGDP","VOLIDX","IDX","Q","2002-Q1",86.061542,
"FRA","QGDP","VOLIDX","IDX","Q","2002-Q2",86.525086,
"FRA","QGDP","VOLIDX","IDX","Q","2002-Q3",86.83847,
"FRA","QGDP","VOLIDX","IDX","Q","2002-Q4",86.875825,
"FRA","QGDP","VOLIDX","IDX","Q","2003-Q1",86.977404,
"FRA","QGDP","VOLIDX","IDX","Q","2003-Q2",86.792833,
"FRA","QGDP","VOLIDX","IDX","Q","2003-Q3",87.38979,
"FRA","QGDP","VOLIDX","IDX","Q","2003-Q4",88.064955,
"FRA","QGDP","VOLIDX","IDX","Q","2004-Q1",88.829369,
"FRA","QGDP","VOLIDX","IDX","Q","2004-Q2",89.416941,
"FRA","QGDP","VOLIDX","IDX","Q","2004-Q3",89.730509,
"FRA","QGDP","VOLIDX","IDX","Q","2004-Q4",90.392057,
"FRA","QGDP","VOLIDX","IDX","Q","2005-Q1",90.611775,
"FRA","QGDP","VOLIDX","IDX","Q","2005-Q2",90.779784,
"FRA","QGDP","VOLIDX","IDX","Q","2005-Q3",91.227686,
"FRA","QGDP","VOLIDX","IDX","Q","2005-Q4",91.889602,
"FRA","QGDP","VOLIDX","IDX","Q","2006-Q1",92.635614,
"FRA","QGDP","VOLIDX","IDX","Q","2006-Q2",93.571901,
